epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,4609.9,1.55221,1.1037,0.96355,0.79182,0.63791,0.70369,0.4998,1.52474,1.03536,0.95893,0.000353732,0.000353732,0.000353732
68,4675.71,1.52338,1.08256,0.96217,0.74541,0.64608,0.70661,0.50846,1.50278,1.01602,0.95922,0.000350183,0.000350183,0.000350183
69,4739.91,1.53499,1.09138,0.9568,0.76043,0.65846,0.71163,0.51145,1.49144,1.00328,0.95578,0.000346633,0.000346633,0.000346633
70,4809.2,1.54871,1.10226,0.95608,0.79385,0.64476,0.71225,0.51293,1.49266,1.01252,0.95441,0.000343084,0.000343084,0.000343084
71,4872.68,1.54026,1.08155,0.95621,0.80429,0.62162,0.70507,0.51109,1.4904,1.00374,0.95494,0.000339534,0.000339534,0.000339534
72,4939.1,1.508,1.06703,0.96141,0.75522,0.65005,0.70645,0.49399,1.51458,1.01802,0.95954,0.000335985,0.000335985,0.000335985
73,5003.56,1.54828,1.08497,0.96053,0.76654,0.65257,0.71303,0.50912,1.48867,1.01774,0.95455,0.000332435,0.000332435,0.000332435
74,5074.46,1.54553,1.07445,0.95505,0.74865,0.65212,0.72061,0.51662,1.47908,0.99542,0.95304,0.000328886,0.000328886,0.000328886
75,5138.68,1.53374,1.0664,0.9583,0.75714,0.67485,0.72277,0.52202,1.46099,0.98304,0.94949,0.000325336,0.000325336,0.000325336
76,5204.73,1.51063,1.04508,0.95233,0.76928,0.66763,0.726,0.52465,1.48576,0.98667,0.95283,0.000321787,0.000321787,0.000321787
77,5269.04,1.56275,1.09511,0.95939,0.79413,0.67708,0.74012,0.52995,1.48381,0.98193,0.95357,0.000318237,0.000318237,0.000318237
78,5339.32,1.52741,1.06537,0.94975,0.80433,0.65109,0.73162,0.52062,1.4802,0.98273,0.95271,0.000314688,0.000314688,0.000314688
79,5404.99,1.53147,1.06536,0.9535,0.8123,0.65633,0.731,0.52677,1.47966,0.98252,0.95299,0.000311138,0.000311138,0.000311138
80,5469.58,1.47478,1.01772,0.94897,0.77295,0.67455,0.73892,0.53484,1.46973,0.97531,0.9509,0.000307589,0.000307589,0.000307589
81,5535.52,1.51797,1.02605,0.95208,0.77715,0.69443,0.74228,0.53939,1.47447,0.97277,0.95129,0.000304039,0.000304039,0.000304039
82,5603.84,1.49987,1.04535,0.9532,0.76125,0.69614,0.73685,0.53129,1.46603,0.96378,0.9487,0.00030049,0.00030049,0.00030049
83,5668.91,1.52879,1.04104,0.95228,0.81019,0.65952,0.73192,0.52911,1.46699,0.96024,0.94873,0.00029694,0.00029694,0.00029694
84,5733.33,1.49426,1.02979,0.94804,0.78679,0.68752,0.7386,0.52896,1.47231,0.96089,0.9508,0.00029339,0.00029339,0.00029339
85,5798.75,1.50684,1.02614,0.95196,0.81098,0.67698,0.7455,0.53726,1.463,0.96077,0.94945,0.000289841,0.000289841,0.000289841
86,5865.68,1.46421,0.99906,0.94348,0.8062,0.69473,0.75068,0.55266,1.45469,0.94835,0.94602,0.000286291,0.000286291,0.000286291
87,5930.87,1.51955,1.01937,0.9533,0.79416,0.68154,0.74382,0.54057,1.45596,0.95556,0.94514,0.000282742,0.000282742,0.000282742
88,5996.64,1.5063,1.02377,0.94383,0.78312,0.69523,0.74862,0.53977,1.45931,0.94656,0.94675,0.000279192,0.000279192,0.000279192
